,bop date,eop date,day count,bop XLK price,eop XLK price,bop VGT price,eop VGT price,eop VGT / eop XLK,bop VGT / XLK moving avg,eop VGT / XLK moving avg,eop XLK unit price,eop VGT / eop VGT,bop VGT / VGT moving avg,eop VGT / VGT moving avg,eop VGT unit price,XLK unit price pct diff,VGT unit price pct diff,unit price pct diff,month end liquidation,go short,exit short,current_position,new_position,XLK shares per unit,bop XLK shares,eop XLK shares,eop XLK shares bought,eop XLK shares sold,eop XLK shares traded,VGT shares per unit,bop VGT shares,eop VGT shares,eop VGT shares bought,eop VGT shares sold,eop VGT shares traded,XLK daily commission,VGT daily commission,daily total commissions,XLK cop,XLK pct cop,XLK daily position pnl,VGT cop,VGT pct cop,VGT daily position pnl,daily position pnl,short XLK investment amount,long XLK investment amount,XLK investment amount,daily XLK borrow cost,short VGT investment amount,long VGT investment amount,VGT investment amount,daily VGT borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2024-01-02,2024-01-03,1,,92.765,,58.1225,0.6265563520724411,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-03,2024-01-04,1,92.765,92.085,58.1225,57.7725,0.6273823098224467,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.6800000000000068,-0.007357349931271767,,-0.3500000000000014,-0.0060399683167497555,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-04,2024-01-05,1,92.085,92.06,57.7725,57.7863,0.6277025852704757,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.024999999999991473,-0.00027152515847392306,,0.01379999999999626,0.00023883944910470126,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-05,2024-01-08,3,92.06,94.37,57.7863,59.2575,0.627927307407015,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,2.3100000000000023,0.024782687644146255,,1.4712000000000032,0.025140630920662876,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-08,2024-01-09,1,94.37,94.52,59.2575,59.3625,0.6280416842996192,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.14999999999999147,0.0015882262854653622,,0.10499999999999687,0.0017703595923791087,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-09,2024-01-10,1,94.52,95.325,59.3625,59.8663,0.6280230789404668,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.8050000000000068,0.00848065342492046,,0.5038000000000054,0.008451028584389732,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-10,2024-01-11,1,95.325,95.81,59.8663,60.0763,0.6270358000208747,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.48499999999999943,0.005074957919154569,,0.21000000000000085,0.00350167854591492,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-11,2024-01-12,1,95.81,96.12,60.0763,60.21,0.6264044943820225,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.3100000000000023,0.0032303472054862194,,0.1336999999999975,0.0022230304708116613,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-12,2024-01-16,4,96.12,96.36,60.21,60.2988,0.6257658779576588,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.23999999999999488,0.002493766878402458,,0.0887999999999991,0.0014737515612534141,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-16,2024-01-17,1,96.36,95.885,60.2988,59.9688,0.6254242060802002,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.4749999999999943,-0.004941621021191618,,-0.3299999999999983,-0.005487776062396708,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2024-01-17,2024-01-18,1,95.885,97.83,59.9688,61.135,0.6249105591331903,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,1.9449999999999932,0.02008172174385847,,1.1661999999999964,0.019260106620940253,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2024-01-18,2024-01-19,1,97.83,100.085,61.135,62.4625,0.6240945196582904,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,2.2549999999999955,0.0227885464733317,,1.3275000000000006,0.02148184307417005,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2024-01-19,2024-01-22,3,100.085,100.525,62.4625,62.87,0.6254165630440188,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.44000000000001194,0.0043866278406686585,,0.40749999999999886,0.006502725724646261,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2024-01-22,2024-01-23,1,100.525,100.93,62.87,63.1313,0.6254958882393739,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.40500000000000114,0.004020754467430463,,0.26130000000000564,0.004147582200866053,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024-01-23,2024-01-24,1,100.93,101.625,63.1313,63.4338,0.6241948339483394,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.6949999999999932,0.006862360617206415,,0.3024999999999949,0.004780157816141872,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2024-01-24,2024-01-25,1,101.625,102.05,63.4338,63.585,0.6230769230769231,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.42499999999999716,0.00417332138787908,,0.1512000000000029,0.002380751060732581,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2024-01-25,2024-01-26,1,102.05,100.875,63.585,62.925,0.6237918215613383,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-1.1749999999999972,-0.011580762665740903,,-0.6600000000000037,-0.01043405245133059,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2024-01-26,2024-01-29,3,100.875,101.8,62.925,63.66,0.6253438113948919,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,0.9249999999999972,0.00912797752630958,,0.7349999999999994,0.011612880832567302,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2024-01-29,2024-01-30,1,101.8,100.96,63.66,63.0475,0.6244799920760697,,,,1.0,,,,,,,False,False,False,0,0,,,,,,,,,,,,,,,0.0,-0.8400000000000034,-0.008285705323519396,,-0.6124999999999972,-0.009668011299721535,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2024-01-30,2024-01-31,1,100.96,98.84,63.0475,61.7388,0.6246337515176041,,0.625785117995163,,1.0,,1.0,,,,,True,False,False,0,0,,,,,,,,,,,,,,,0.0,-2.1199999999999903,-0.02122201767249366,,-1.3087000000000018,-0.0209758280150671,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2024-01-31,2024-02-01,1,98.84,100.085,61.7388,62.535,0.6248189039316581,0.625785117995163,0.6256982455881238,62.631703534545885,1.0,1.0,1.0,62.535,0.0015451961433213944,0.0,0.0015451961433213944,False,False,False,0,0,1001.0,0.0,0.0,0.0,-0.0,0.0,1599.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.2449999999999903,0.012517443822259763,0.0,0.7961999999999989,0.012813817461711854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2024-02-01,2024-02-02,1,100.085,101.12,62.535,63.145,0.6244560917721519,0.6256982455881238,0.6255519346856092,63.270606593871086,1.0,1.0,1.0,63.145,0.0019872014000507005,0.0,0.0019872014000507005,False,False,False,0,0,991.0,0.0,0.0,0.0,-0.0,0.0,1584.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0350000000000108,0.01028810545587812,0.0,0.6100000000000065,0.00970726909726365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2024-02-02,2024-02-05,3,101.12,101.35,63.145,63.175,0.623334977799704,0.6255519346856092,0.6253335543120706,63.39968858038649,1.0,1.0,1.0,63.175,0.003550296175572958,0.0,0.003550296175572958,False,True,False,0,-1,990.0,0.0,-990.0,0.0,990.0,-990.0,1583.0,0.0,1583.0,1583.0,-0.0,1583.0,-4.95,-7.915,-12.865,0.22999999999998977,0.0022719424994616104,0.0,0.02999999999999403,0.0004749841761245371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.865,-12.865,-12.865
23,2024-02-05,2024-02-06,1,101.35,100.885,63.175,63.0675,0.6251424889725925,0.6253335543120706,0.6251943133903495,63.086775626773246,1.0,1.0,1.0,63.0675,0.0003055881669879671,0.0,0.0003055881669879671,False,False,False,-1,-1,992.0,-990.0,-992.0,0.0,2.0,-2.0,1586.0,1583.0,1586.0,3.0,-0.0,3.0,-0.01,-0.015,-0.025,-0.4649999999999892,-0.004598618631367643,460.34999999998934,-0.1074999999999946,-0.0017030718812322025,-170.17249999999146,290.17749999999785,-100336.5,0.0,-100336.5,-2.787125,0.0,100006.025,100006.025,0.0,-330.4750000000058,200342.525,-100336.5,-2.787125,287.36537499999787,274.50037499999786,0.0
24,2024-02-06,2024-02-07,1,100.885,102.22,63.0675,63.8825,0.6249510858931716,0.6251943133903495,0.625039783470027,63.907362714761526,1.0,1.0,1.0,63.8825,0.0003891187383264662,0.0,0.0003891187383264662,False,False,False,-1,-1,978.0,-992.0,-978.0,14.0,-0.0,14.0,1565.0,1586.0,1565.0,0.0,21.0,-21.0,-0.07,-0.105,-0.175,1.3349999999999937,0.01314609907349214,-1324.3199999999938,0.8149999999999977,0.012839877067771904,1292.5899999999965,-31.72999999999729,-100077.92,0.0,-100077.92,-2.7799422222222225,0.0,100025.05500000001,100025.05500000001,0.0,-52.86499999999069,200102.975,-100077.92,-2.7799422222222225,-34.68494222221951,239.81543277777834,-34.68494222221952
25,2024-02-07,2024-02-08,1,102.22,102.54,63.8825,64.2063,0.6261585722644821,0.625039783470027,0.6249465581362278,64.09157939701657,1.0,1.0,1.0,64.2063,-0.001788348086460115,0.0,-0.001788348086460115,False,False,True,-1,0,973.0,-978.0,0.0,978.0,-0.0,978.0,1557.0,1565.0,0.0,0.0,1565.0,-1565.0,-4.89,-7.825,-12.715,0.3200000000000074,0.0031256130154211415,-312.9600000000072,0.32379999999999853,0.005055878261723221,506.7469999999977,193.78699999999048,-99971.16,0.0,-99971.16,-2.776976666666667,0.0,99976.1125,99976.1125,0.0,4.952499999999418,199947.27250000002,-99971.16,-2.776976666666667,178.29502333332383,418.11045611110217,0.0
26,2024-02-08,2024-02-09,1,102.54,103.92,64.2063,65.18,0.6272132409545805,0.6249465581362278,0.6249554301829131,64.94444632151679,1.0,1.0,1.0,65.18,-0.0036204409307730025,0.0,-0.0036204409307730025,False,False,True,0,0,959.0,0.0,0.0,0.0,-0.0,0.0,1534.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.3799999999999955,0.013368406006789622,0.0,0.973700000000008,0.015051336686894684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
27,2024-02-09,2024-02-12,3,103.92,103.13,65.18,64.7738,0.6280791234364395,0.6249554301829131,0.625039161635634,64.45165351476382,1.0,1.0,1.0,64.7738,-0.004985815778702981,0.0,-0.004985815778702981,False,False,True,0,0,965.0,0.0,0.0,0.0,-0.0,0.0,1544.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.7900000000000063,-0.007631044034366552,-0.0,-0.40620000000001255,-0.006251472798610368,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
28,2024-02-12,2024-02-13,1,103.13,101.38,64.7738,63.5075,0.6264302623791675,0.625039161635634,0.6250723808567094,63.36647020662057,1.0,1.0,1.0,63.5075,-0.0022231487078887913,0.0,-0.0022231487078887913,False,False,True,0,0,984.0,0.0,0.0,0.0,-0.0,0.0,1575.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.75,-0.01711449528377437,-0.0,-1.266299999999994,-0.019743191450403496,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
29,2024-02-13,2024-02-14,1,101.38,102.44,63.5075,64.3563,0.6282340882467786,0.6250723808567094,0.6252128749650383,64.0324146949613,1.0,1.0,1.0,64.3563,-0.00504539659700384,0.0,-0.00504539659700384,False,False,True,0,0,971.0,0.0,0.0,0.0,-0.0,0.0,1554.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.0600000000000023,0.01040142828712126,0.0,0.8488000000000042,0.01327682218753854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
30,2024-02-14,2024-02-15,1,102.44,102.225,64.3563,64.3063,0.6290662753729518,0.6252128749650383,0.6254206607770263,63.912386143301035,1.0,1.0,1.0,64.3063,-0.006144425713043112,0.0,-0.006144425713043112,False,False,True,0,0,972.0,0.0,0.0,0.0,-0.0,0.0,1555.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.2150000000000034,-0.002100995080618552,-0.0,-0.05000000000001137,-0.0007772266768589244,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
31,2024-02-15,2024-02-16,1,102.225,101.285,64.3063,63.625,0.6281779138075727,0.6254206607770263,0.6256248304844905,63.345731626801104,1.0,1.0,1.0,63.625,-0.004398948008855279,0.0,-0.004398948008855279,False,False,True,0,0,983.0,0.0,0.0,0.0,-0.0,0.0,1572.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.9399999999999977,-0.009237940984936249,-0.0,-0.6812999999999931,-0.010651129800394482,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
32,2024-02-16,2024-02-20,4,101.285,100.255,63.625,62.8738,0.6271387960700215,0.6256248304844905,0.6257109421357907,62.72201738022259,1.0,1.0,1.0,62.8738,-0.0024170023625784717,0.0,-0.0024170023625784717,False,False,True,0,0,995.0,0.0,0.0,0.0,-0.0,0.0,1590.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.0300000000000011,-0.010221385011102492,-0.0,-0.7511999999999972,-0.011876932119991225,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
33,2024-02-20,2024-02-21,1,100.255,99.625,62.8738,62.3375,0.6257214554579673,0.6257109421357907,0.6257222204967203,62.33645261027815,1.0,1.0,1.0,62.3375,-1.6802061696833978e-05,0.0,-1.6802061696833978e-05,False,False,True,0,0,1004.0,0.0,0.0,0.0,-0.0,0.0,1604.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.6299999999999955,-0.006303803144288157,-0.0,-0.5363000000000042,-0.008566371878454687,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
34,2024-02-21,2024-02-22,1,99.625,102.885,62.3375,64.365,0.6256013996209359,0.6257222204967203,0.6257925487803501,64.37743065580507,1.0,1.0,1.0,64.365,0.00019310891957506854,0.0,0.00019310891957506854,False,False,True,0,0,972.0,0.0,0.0,0.0,-0.0,0.0,1554.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,3.260000000000005,0.0321987225090154,0.0,2.0274999999999963,0.03200683623935668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
35,2024-02-22,2024-02-23,1,102.885,102.645,64.365,64.1475,0.6249451994739149,0.6257925487803501,0.6258859626001997,64.23447616955903,1.0,1.0,1.0,64.1475,0.0013549594025706756,0.0,0.0013549594025706756,False,False,False,0,0,976.0,0.0,0.0,0.0,-0.0,0.0,1559.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.2400000000000091,-0.0023354265468237,-0.0,-0.21750000000000114,-0.003384887970688294,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
36,2024-02-23,2024-02-26,3,102.645,102.745,64.1475,64.315,0.625967200350382,0.6258859626001997,0.6259947315396519,64.30665322735751,1.0,1.0,1.0,64.315,-0.00012978798584475744,0.0,-0.00012978798584475744,False,False,True,0,0,973.0,0.0,0.0,0.0,-0.0,0.0,1555.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.10000000000000853,0.0009737573192627985,0.0,0.16750000000000398,0.00260776638976946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
37,2024-02-26,2024-02-27,1,102.745,102.835,64.315,64.4088,0.6263315019205524,0.6259947315396519,0.6260441160659349,64.3741682178801,1.0,1.0,1.0,64.4088,-0.0005378317247063243,0.0,-0.0005378317247063243,False,False,True,0,0,972.0,0.0,0.0,0.0,-0.0,0.0,1553.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0899999999999892,0.0008755716095891805,0.0,0.09380000000000166,0.001457384207153017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
38,2024-02-27,2024-02-28,1,102.835,102.35,64.4088,64.11,0.6263800683927699,0.6260441160659349,0.6261391198817698,64.07561527934844,1.0,1.0,1.0,64.11,-0.0005364833082296236,0.0,-0.0005364833082296236,False,False,True,0,0,977.0,0.0,0.0,0.0,-0.0,0.0,1560.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.48499999999999943,-0.004727449894124394,-0.0,-0.29879999999999995,-0.004649911738665694,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
39,2024-02-28,2024-02-29,1,102.35,103.49,64.11,64.7238,0.6254111508358295,0.6261391198817698,0.6261779898476812,64.79913751656436,1.0,1.0,1.0,64.7238,0.0011633078511798663,0.0,0.0011633078511798663,True,False,False,0,0,967.0,0.0,0.0,0.0,-0.0,0.0,1545.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.1400000000000006,0.011076677572783166,0.0,0.6137999999999977,0.009528627489742873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
40,2024-02-29,2024-03-01,1,103.49,105.38,64.7238,65.9238,0.6255817043082179,0.6261779898476812,0.6262161298665092,65.98663657014865,1.0,1.0,1.0,65.9238,0.0009527157446427683,0.0,0.0009527157446427683,False,False,False,0,0,950.0,0.0,0.0,0.0,-0.0,0.0,1517.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.8900000000000006,0.01809787510105798,0.0,1.2000000000000028,0.01837054408192996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
41,2024-03-01,2024-03-04,3,105.38,105.38,65.9238,66.0463,0.6267441639779845,0.6262161298665092,0.6263305334768008,65.99065576533273,1.0,1.0,1.0,66.0463,-0.0008428585412155699,0.0,-0.0008428585412155699,False,False,True,0,0,948.0,0.0,0.0,0.0,-0.0,0.0,1514.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.12250000000000227,0.0018564816603650394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
42,2024-03-04,2024-03-05,1,105.38,102.79,66.0463,64.46,0.6271038038719718,0.6263305334768008,0.6265189747804143,64.38051553608035,1.0,1.0,1.0,64.46,-0.0012338428431870462,0.0,-0.0012338428431870462,False,False,True,0,0,971.0,0.0,0.0,0.0,-0.0,0.0,1551.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-2.589999999999989,-0.024884792756309008,-0.0,-1.5863000000000085,-0.02431113484391199,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
43,2024-03-05,2024-03-06,1,102.79,103.605,64.46,65.175,0.6290719559866801,0.6265189747804143,0.6267154481311186,64.91049838212483,1.0,1.0,1.0,65.175,-0.004066586755215223,0.0,-0.004066586755215223,False,False,True,0,0,961.0,0.0,0.0,0.0,-0.0,0.0,1534.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.8149999999999977,0.007897519184215274,0.0,0.7150000000000034,0.011031083432273634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
44,2024-03-06,2024-03-07,1,103.605,105.24,65.175,66.27,0.6297035347776511,0.6267154481311186,0.6269530705753426,65.95553376131892,1.0,1.0,1.0,66.27,-0.004756522021462668,0.0,-0.004756522021462668,False,False,True,0,0,946.0,0.0,0.0,0.0,-0.0,0.0,1509.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,1.634999999999991,0.015657864963046032,0.0,1.0949999999999989,0.01666134628057012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
45,2024-03-07,2024-03-08,1,105.24,103.675,66.27,65.1863,0.6287562093079335,0.6269530705753426,0.6270829524275152,64.99935959189864,1.0,1.0,1.0,65.1863,-0.002871906739580595,0.0,-0.002871906739580595,False,False,True,0,0,962.0,0.0,0.0,0.0,-0.0,0.0,1534.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.5649999999999977,-0.014982450039647,-0.0,-1.0836999999999932,-0.016487981945781955,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
46,2024-03-08,2024-03-11,3,103.675,103.39,65.1863,64.9075,0.6277928232904536,0.6270829524275152,0.6271119315443088,64.83410645148079,1.0,1.0,1.0,64.9075,-0.0011313804161262502,0.0,-0.0011313804161262502,False,False,True,0,0,966.0,0.0,0.0,0.0,-0.0,0.0,1541.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.2849999999999966,-0.002752760533843286,-0.0,-0.27880000000000393,-0.004286144717431451,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
47,2024-03-11,2024-03-12,1,103.39,105.51,64.9075,66.25,0.6279025684769216,0.6271119315443088,0.6271031037963329,66.16657989724003,1.0,1.0,1.0,66.25,-0.0012599647847810916,0.0,-0.0012599647847810916,False,False,True,0,0,946.0,0.0,0.0,0.0,-0.0,0.0,1509.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,2.1200000000000045,0.020297489555399065,0.0,1.3425000000000011,0.020472285429409414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
48,2024-03-12,2024-03-13,1,105.51,104.37,66.25,65.5488,0.628042540960046,0.6271031037963329,0.6271837177253768,65.45075094322327,1.0,1.0,1.0,65.5488,-0.0014969375754338788,0.0,-0.0014969375754338788,False,False,True,0,0,957.0,0.0,0.0,0.0,-0.0,0.0,1526.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.1400000000000006,-0.010863457322040408,-0.0,-0.7012,-0.010640561460346894,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.11045611110217,0.0
49,2024-03-13,2024-03-14,1,104.37,104.39,65.5488,65.3025,0.6255627933710125,0.6271837177253768,0.6270501529815885,65.4717082933521,1.0,1.0,1.0,65.3025,0.002587794489267257,0.0,0.002587794489267257,False,True,False,0,-1,960.0,0.0,-960.0,0.0,960.0,-960.0,1531.0,0.0,1531.0,1531.0,-0.0,1531.0,-4.8,-7.655,-12.455,0.01999999999999602,0.00019160758824653953,0.0,-0.24630000000000507,-0.0037645830172414884,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.455,405.6554561111022,-12.454999999999984
50,2024-03-14,2024-03-15,1,104.39,102.815,65.3025,64.445,0.6268054272236541,0.6270501529815885,0.6269371105741237,64.47016147880203,1.0,1.0,1.0,64.445,0.0003903571749499445,0.0,0.0003903571749499445,False,False,False,-1,-1,973.0,-960.0,-973.0,0.0,13.0,-13.0,1552.0,1531.0,1552.0,21.0,-0.0,21.0,-0.065,-0.105,-0.16999999999999998,-1.5750000000000028,-0.015202628646725334,1512.0000000000027,-0.8575000000000017,-0.013218173532000456,-1312.8325000000027,199.16750000000002,-100214.4,0.0,-100214.4,-2.783733333333333,0.0,99978.12749999999,99978.12749999999,0.0,-236.2725000000064,200192.52749999997,-100214.4,-2.783733333333333,196.2137666666667,601.8692227777689,0.0
51,2024-03-15,2024-03-18,3,102.815,103.15,64.445,64.7475,0.6277023751817741,0.6269371105741237,0.6269133336428337,64.66856295572086,1.0,1.0,1.0,64.7475,-0.0012198957728346913,0.0,-0.0012198957728346913,False,False,True,-1,0,968.0,-973.0,0.0,973.0,-0.0,973.0,1544.0,1552.0,0.0,0.0,1552.0,-1552.0,-4.865,-7.76,-12.625,0.33500000000000796,0.0032529827437792302,-325.9550000000078,0.3025000000000091,0.004682942938907565,469.4800000000141,143.52500000000634,-100038.995,0.0,-100038.995,-8.336582916666668,0.0,100018.63999999998,100018.63999999998,0.0,-20.355000000010477,200057.63499999998,-100038.995,-8.336582916666668,122.56341708333967,724.4326398611086,0.0
52,2024-03-18,2024-03-19,1,103.15,103.685,64.7475,65.0213,0.6271042098664222,0.6269133336428337,0.6269116043326537,65.00150899875722,1.0,1.0,1.0,65.0213,-0.00030442353227139597,0.0,-0.00030442353227139597,False,False,True,0,0,964.0,0.0,0.0,0.0,-0.0,0.0,1538.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.5349999999999966,0.005173217232542894,0.0,0.27379999999999427,0.0042198187282813625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.4326398611086,0.0
