date,FENY,FHLC,FIDU,FREL,FSTA,FTEC,FUTY,IDU,IYE,IYF,IYH,IYR,IYW,VDC,VDE,VFH,VGT,VHT,VNQ,VPU,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,days,ishare_scalar,IYE*,IYF*,IYH*,IYR*,IYW*,IDU*,FSTA div,VDC div,XLP div,FENY div,IYE div,VDE div,XLE div,IYF div,VFH div,XLF div,FHLC div,IYH div,VHT div,XLV div,FIDU div,XLI div,FREL div,IYR div,VNQ div,XLRE div,FTEC div,IYW div,VGT div,XLK div,FUTY div,IDU div,VPU div,XLU div,FSTA no div,VDC no div,XLP no div,FENY no div,IYE* no div,VDE no div,XLE no div,IYF* no div,VFH no div,XLF no div,FHLC no div,IYH* no div,VHT no div,XLV no div,FIDU no div,XLI no div,FREL no div,IYR* no div,VNQ no div,XLRE no div,FTEC no div,IYW* no div,VGT no div,XLK no div,FUTY no div,IDU* no div,VPU no div,XLU no div
2026-03-25,33.71,70.14,88.51,26.67,51.89,213.65,58.34,114.49,64.15,117.41,61.34,93.49,185.94,222.65,171.44,120.7,89.5575,271.52,87.84,195.48,60.57,49.34,165.1,136.76,81.51,40.27,45.25,146.24,0,1.0,64.15,117.41,61.34,93.49,185.94,114.49,0.296,1.2239,0.5742,0.21,0.3091,1.0321,0.3849,0.3804,0.8519,0.1871,0.263,0.1634,0.9868,0.6562,0.213,0.4441,0.273,0.51,0.8554,0.3811,0.289,0.0718,0.1384,0.2279,0.401,0.6315,1.3009,0.2844,51.594,221.42610000000002,80.9358,33.5,63.840900000000005,170.40789999999998,60.1851,117.0296,119.8481,49.1529,69.877,61.1766,270.53319999999997,145.5838,88.29700000000001,164.6559,26.397000000000002,92.97999999999999,86.9846,39.88890000000001,213.36100000000002,185.8682,89.4191,136.53209999999999,57.939,113.85849999999999,194.17909999999998,44.9656
2026-03-26,34.23,69.89,86.24,26.64,51.7,207.53,58.47,114.81,65.12,116.71,61.14,93.34,180.01,221.7,174.14,119.99,87.005,270.42,87.72,195.92,61.52,49.05,161.27,132.5,81.14,40.29,45.33,145.74,1,1.0000082069075937,65.12053443382251,116.71095782818526,61.14050177033028,93.3407660327548,180.01147732543595,114.81094223506084,0.296,1.2239,0.5742,0.21,0.3091,1.0321,0.3849,0.3804,0.8519,0.1871,0.263,0.1634,0.9868,0.6562,0.213,0.4441,0.273,0.51,0.8554,0.3811,0.289,0.0718,0.1384,0.2279,0.401,0.6315,1.3009,0.2844,51.404,220.4761,80.5658,34.019999999999996,64.81143443382251,173.10789999999997,61.1351,116.33055782818526,119.1381,48.862899999999996,69.627,60.97710177033028,269.4332,145.0838,86.027,160.82590000000002,26.367,92.8307660327548,86.8646,39.9089,207.241,179.93967732543595,86.86659999999999,132.2721,58.068999999999996,114.17944223506083,194.61909999999997,45.0456
2026-03-27,34.79,68.53,85.15,26.42,52.0,203.09,58.74,115.34,66.2,113.98,60.06,92.61,176.09,223.18,176.95,117.0,85.125,265.36,87.0,196.88,62.56,47.81,159.2,129.92,81.78,40.01,45.59,143.26,2,1.0000164138825407,66.2010865990242,113.98187085433199,60.060985817785394,92.6115200896621,176.0928903205766,115.34189317721224,0.296,1.2239,0.5742,0.21,0.3091,1.0321,0.3849,0.3804,0.8519,0.1871,0.263,0.1634,0.9868,0.6562,0.213,0.4441,0.273,0.51,0.8554,0.3811,0.289,0.0718,0.1384,0.2279,0.401,0.6315,1.3009,0.2844,51.704,221.95610000000002,81.2058,34.58,65.8919865990242,175.91789999999997,62.1751,113.60147085433199,116.1481,47.6229,68.267,59.89758581778539,264.3732,142.60379999999998,84.93700000000001,158.7559,26.147000000000002,92.10152008966209,86.1446,39.6289,202.80100000000002,176.0210903205766,84.9866,129.69209999999998,58.339,114.71039317721224,195.57909999999998,45.305600000000005
2026-03-30,34.41,68.79,83.66,26.53,52.23,199.44,59.13,116.21,65.5,115.05,60.35,93.06,173.53,224.07,175.0,118.24,83.5875,266.36,87.33,198.11,61.96,48.36,156.61,127.5,81.88,40.21,45.92,143.82,5,1.0000410352115074,65.50268780635373,115.05472110108393,60.35247647501448,93.06381873678289,173.5371208402529,116.21476870192927,0.296,1.2239,0.5742,0.21,0.3091,1.0321,0.3849,0.3804,0.8519,0.1871,0.263,0.1634,0.9868,0.6562,0.213,0.4441,0.273,0.51,0.8554,0.3811,0.289,0.0718,0.1384,0.2279,0.401,0.6315,1.3009,0.2844,51.934,222.8461,81.30579999999999,34.199999999999996,65.19358780635373,173.9679,61.5751,114.67432110108393,117.3881,48.1729,68.527,60.189076475014474,265.3732,143.16379999999998,83.447,156.16590000000002,26.257,92.55381873678289,86.4746,39.828900000000004,199.151,173.4653208402529,83.4491,127.2721,58.729,115.58326870192927,196.8091,45.635600000000004
2026-03-31,34.02,70.36,86.52,26.91,52.33,208.05,59.07,116.11,64.77,117.66,61.64,94.56,181.42,224.59,173.04,120.81,87.215,272.33,88.7,198.14,61.26,49.37,161.73,132.9,81.98,40.83,45.89,146.61,6,1.0000492424558736,64.77318943386693,117.66579386735808,61.643035304980046,94.5646563666274,181.42893356634457,116.11571754155148,0.296,1.2239,0.5742,0.21,0.3091,1.0321,0.3849,0.3804,0.8519,0.1871,0.263,0.1634,0.9868,0.6562,0.213,0.4441,0.273,0.51,0.8554,0.3811,0.289,0.0718,0.1384,0.2279,0.401,0.6315,1.3009,0.2844,52.034,223.36610000000002,81.4058,33.81,64.46408943386693,172.00789999999998,60.875099999999996,117.28539386735808,119.9581,49.1829,70.097,61.47963530498004,271.34319999999997,145.9538,86.307,161.2859,26.637,94.0546563666274,87.8446,40.448899999999995,207.76100000000002,181.35713356634457,87.0766,132.6721,58.669,115.48421754155147,196.83909999999997,45.6056
2026-04-01,32.8,70.91,87.97,27.0,52.1,210.71,59.36,116.61,62.46,118.06,62.12,94.88,184.42,223.73,166.8,120.84,88.3313,274.5,89.02,198.97,58.97,49.44,164.43,134.91,81.46,40.95,46.11,147.73,7,1.0000574497675956,62.46358831248402,118.06678251956234,62.12356877956304,94.88545083394946,184.43059488613997,116.61669921739932,0.296,1.2239,0.5742,0.21,0.3091,1.0321,0.3849,0.3804,0.8519,0.1871,0.263,0.1634,0.9868,0.6562,0.213,0.4441,0.273,0.51,0.8554,0.3811,0.289,0.0718,0.1384,0.2279,0.401,0.6315,1.3009,0.2844,51.804,222.5061,80.88579999999999,32.589999999999996,62.15448831248402,165.7679,58.5851,117.68638251956234,119.9881,49.2529,70.64699999999999,61.960168779563034,273.5132,147.07379999999998,87.757,163.98590000000002,26.727,94.37545083394946,88.1646,40.5689,210.42100000000002,184.35879488613998,88.1929,134.6821,58.958999999999996,115.98519921739931,197.6691,45.8256
2026-04-02,33.04,70.54,87.68,27.39,52.4,212.53,59.75,117.48,62.83,118.4,61.65,96.25,185.38,224.97,168.06,121.32,89.0813,273.07,90.23,200.14,59.25,49.53,163.77,135.99,81.89,41.61,46.34,146.81,8,1.0000656571466742,62.83412523852554,118.40777380616623,61.654047763092464,96.25631950036738,185.39217152185046,117.48771340159128,0.296,1.2239,0.5742,0.21,0.3091,1.0321,0.3849,0.3804,0.8519,0.1871,0.263,0.1634,0.9868,0.6562,0.213,0.4441,0.273,0.51,0.8554,0.3811,0.289,0.0718,0.1384,0.2279,0.401,0.6315,1.3009,0.2844,52.104,223.7461,81.3158,32.83,62.52502523852554,167.0279,58.8651,118.02737380616624,120.46809999999999,49.3429,70.277,61.49064776309246,272.0832,146.1538,87.46700000000001,163.32590000000002,27.117,95.74631950036738,89.3746,41.228899999999996,212.241,185.32037152185046,88.9429,135.7621,59.349,116.85621340159128,198.83909999999997,46.055600000000005
2026-04-06,33.27,70.32,88.08,27.42,52.85,213.56,59.48,116.92,63.22,119.14,61.5,96.37,186.55,226.81,169.13,122.19,89.5275,272.11,90.36,199.4,59.68,49.88,164.61,136.78,82.66,41.76,46.17,146.28,12,1.0000984873365664,63.226226369417724,119.15173378127852,61.50605697119883,96.3794912246249,186.56837281263645,116.93151513939134,0.296,1.2239,0.5742,0.21,0.3091,1.0321,0.3849,0.3804,0.8519,0.1871,0.263,0.1634,0.9868,0.6562,0.213,0.4441,0.273,0.51,0.8554,0.3811,0.289,0.0718,0.1384,0.2279,0.401,0.6315,1.3009,0.2844,52.554,225.58610000000002,82.08579999999999,33.06,62.91712636941772,168.09789999999998,59.2951,118.77133378127853,121.3381,49.6929,70.05699999999999,61.34265697119883,271.1232,145.6238,87.867,164.16590000000002,27.147000000000002,95.8694912246249,89.5046,41.3789,213.27100000000002,186.49657281263646,89.3891,136.5521,59.07899999999999,116.30001513939133,198.0991,45.885600000000004
2026-04-07,33.54,70.46,87.92,27.46,51.99,214.27,59.67,117.27,63.73,119.27,61.53,96.46,187.31,223.16,170.54,122.19,89.8063,272.82,90.49,199.98,60.16,49.88,164.28,137.43,81.26,41.72,46.27,146.57,13,1.0001066950524367,63.736799675691785,119.28272551890412,61.536564946576426,96.47029180475803,187.32998505027192,117.28251212879924,0.296,1.2239,0.5742,0.21,0.3091,1.0321,0.3849,0.3804,0.8519,0.1871,0.263,0.1634,0.9868,0.6562,0.213,0.4441,0.273,0.51,0.8554,0.3811,0.289,0.0718,0.1384,0.2279,0.401,0.6315,1.3009,0.2844,51.694,221.9361,80.6858,33.33,63.427699675691784,169.50789999999998,59.775099999999995,118.90232551890412,121.3381,49.6929,70.19699999999999,61.37316494657642,271.8332,145.91379999999998,87.70700000000001,163.8359,27.187,95.96029180475803,89.63459999999999,41.338899999999995,213.98100000000002,187.25818505027192,89.66789999999999,137.2021,59.269,116.65101212879924,198.67909999999998,45.985600000000005
2026-04-08,32.4,71.85,91.4,27.96,53.03,220.42,60.3,118.26,61.56,122.4,62.81,98.19,193.1,227.68,164.78,125.53,92.3875,278.2,92.12,202.09,58.05,51.2,170.44,141.69,82.78,42.44,46.78,149.67,14,1.0001149028356668,61.56707341856365,122.41406410708562,62.81721704710824,98.20128230943412,193.12218773756726,118.27358840934596,0.296,1.2239,0.5742,0.21,0.3091,1.0321,0.3849,0.3804,0.8519,0.1871,0.263,0.1634,0.9868,0.6562,0.213,0.4441,0.273,0.51,0.8554,0.3811,0.289,0.0718,0.1384,0.2279,0.401,0.6315,1.3009,0.2844,52.734,226.45610000000002,82.2058,32.19,61.25797341856365,163.7479,57.665099999999995,122.03366410708563,124.6781,51.0129,71.58699999999999,62.653817047108234,277.2132,149.01379999999997,91.18700000000001,169.9959,27.687,97.69128230943411,91.2646,42.058899999999994,220.131,193.05038773756726,92.2491,141.4621,59.898999999999994,117.64208840934596,200.7891,46.4956
